title,image,ingredients,instructions,nutrition_info,clean_ingredients
Crusted Pork Chop with Adobo Rice Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/06/crusted-pork-chop-with-adobo-fried-rice-recipe-2.jpg,"['▢ 4 pieces pork chops 5 to 8 oz. each', '▢ 1 cup Panko bread crumbs', '▢ 2 eggs beaten', '▢ 1 1/2 teaspoon salt', '▢ 1/2 teaspoon ground black pepper', '▢ 1/2 cup cooking oil']","['Rub salt and pepper on the pork chops. Let it stay for 15 minutes.', 'Heat the cooking oil in a frying pan. Once the oil gets hot, adjust the heat to low.', 'Arrange the eggs and breadcrumbs in separate bowls. Dip each pork chop into the beaten eggs and then dredge with breadcrumbs. Make sure that the entire pork chops are completely covered.', 'Pan fry the pork chops for 6 to 9 minutes per side depending on the thickness of the pork chop. Note: you can increase the heat gradually if needed. Remember that too much heat can burn the outer part of the pork chop while leaving the center raw. Adjust the heat as necessary.', 'Remove the fried crusted pork chop from the frying pan. Transfer to a serving plate with Adobo rice and egg.', 'Serve. Share and enjoy!']",,"['eggs', 'pork chops .', 'ground black pepper', 'Panko bread crumbs', 'cooking oil', 'salt']"
Ginataang Langka with Pork Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/06/ginataang-langka-with-pork-2.jpg,"['▢ 20 oz. unripe jackfruit chopped', '▢ 10 oz. pork cubed', '▢ 2 cups coconut milk', '▢ 4 pieces chili pepper chopped (optional)', '▢ 1 medium onion sliced', '▢ 1 teaspoon minced garlic', '▢ 1 tablespoon fish sauce', '▢ 1/4 teaspoon ground black pepper', '▢ 2 tablespoons cooking oil']","['Heat the cooking oil in a pan.', 'Once the oil becomes hot, sauté the onion and garlic.', 'Add the pork. Cook until medium brown.', 'Pour the coconut milk in the pan. Let boil. Cover and simmer for 20 minutes. Add water if needed.', 'Add the ground black pepper, chili, and fish sauce. Stir.', 'Add the jackfruit. Stir and cook for 5 to 7 minutes.', 'Transfer to a serving bowl. Serve.', 'Share and enjoy!']",,"['onion', 'chili pepper', 'unripe jackfruit', 'fish sauce', 'ground black pepper', 'garlic', 'cooking oil', 'pork', 'coconut milk']"
"Chicken Teriyaki, Brown Rice, and Sunny Side Up Egg Recipe",https://panlasangpinoy.com/wp-content/uploads/2014/05/chicken-teriyaki-meal.jpg,"['▢ 1 1/2 lbs. boneless and skinless chicken breast', '▢ 1/4 cup soy sauce', '▢ 2 tablespoons water', '▢ 2 tablespoons brown sugar', '▢ 1/4 teaspoon garlic powder', '▢ 2 tablespoons Mirin or cooking wine', '▢ 3 cups cooked brown rice', '▢ 3 eggs cooked sunny side up', '▢ 1 tablespoon toasted sesame seeds']","['Make the marinade by combining the soy sauce, brown sugar, Mirin (or cooking wine), water, and garlic powder. Stir until all the ingredients are properly distributed.', 'Place the chicken breasts in a Ziploc bag or in a bowl. Mix-in the marinade. Seal the bag and put inside the refrigerator. Marinate for at least 1 hour (overnight is better).', 'Heat the grill. Grill the marinated chicken for 4 to 7 minutes per side or until the internal temperature reads 165F. You can flip the chicken twice while grilling each side for half the time per rotation to avoid one side from getting burnt.', 'Arrange the cooked brown rice in a bowl. Put-in the grilled chicken teriyaki over the rice and top with sunny side up egg. Sprinkle some toasted sesame seeds on top of the chicken.', 'Serve. Share and enjoy!']",,"['water', 'garlic powder', 'brown sugar', 'eggs cooked sunny side up', 'boneless skinless chicken breast', 'toasted sesame seeds', 'Mirin or cooking wine', 'soy sauce', 'cooked brown rice']"
Pork Burger Patties,https://panlasangpinoy.com/wp-content/uploads/2014/05/Baked-Pork-Burger-Patties_02042606.jpg,"['▢ 2 1/4 lbs ground pork', '▢ 1 large carrot minced', '▢ 1 medium onion minced', '▢ 1 egg', '▢ 1 teaspoon paprika optional', '▢ 1/2 teaspoon ground black pepper', '▢ 1 teaspoon garlic powder', '▢ 1/2 cup bread crumbs', '▢ 1 teaspoon salt']","['Preheat the oven to 375 Fahrenheit.', 'In a large bowl, combine the ground pork, carrot, onion, paprika, garlic powder, egg, salt, pepper, and bread crumbs. Mix until the ingredient are distributed properly.', 'Arrange an aluminum foil sheet on top of a baking tray. Lightly grease the top of the sheet with cooking oil to prevent the patties from sticking.', 'Scoop ½ cup of ground meat mixture and mold each into a ball shaped figure. Gently press on the ball shaped meat mixture to form a flat ground pork burger patty. Arrange the pork patties over the greased aluminum foil sheet.', 'Place the baking tray with pork burger patties inside the oven and bake for 25 to 35 minutes or until the pork internal temperature reads 160 degrees Fahrenheit.', 'Remove the baked pork burger patties from the tray and arrange in a serving plate. Serve with your favorite dipping sauce.', 'Share and enjoy!']",,"['bread crumbs', 'garlic powder', 'carrot', 'onion', 'egg', 'ground black pepper', 'paprika', 'ground pork', 'salt']"
Rosemary Baked Chicken Recipe with Vegetables,https://panlasangpinoy.com/wp-content/uploads/2014/04/Baked-Rosemary-Chicken-Recipe-with-Vegeta-bles.jpg,"['▢ 4 boneless skinless chicken breasts around 3 to 4 ounces per piece', '▢ 2 teaspoons garlic powder', '▢ 3/4 to 1 teaspoon salt', '▢ 1 tablespoon dried rosemary', '▢ 1/4 teaspoon ground black pepper', '▢ 1 tablespoon lemon juice', '▢ 1 tablespoon olive oil', '▢ 1 pack frozen mixed vegetables thawed']","['Combine rosemary, garlic powder, salt, pepper, and lemon juice, and olive oil in a bowl. Mix well.', 'Meanwhile, cook the vegetables according to your preference. You can steam the vegetables or stir-fry them using a little cooking oil. Sprinkle some salt and pepper and arrange in a plate. Set aside.', 'Rub the mixture over the chicken breasts. Arrange the chicken breasts in a resealable bag and pour-in the remaining mixture. Marinate for 15 to 30 minutes.', 'Preheat the oven to 375 degrees Fahrenheit.', 'Arrange the marinated chicken breasts in a baking pan.', 'Bake one side for 15 minutes. Turn the chicken breasts over and bake the other side for another 15 minutes or until internal temperature reads 160 degrees Fahrenheit (you will need to use a meat thermometer to get the internal temperature of meats).', 'Transfer the Baked Chicken on the plate where the vegetables are placed.', 'Serve your baked chicken with vegetables. Share and enjoy!']",,"['garlic powder', 'lemon juice', 'olive oil', 'ground black pepper', 'frozen mixed vegetables thawed', 'salt', 'boneless skinless chicken breasts around per', 'rosemary']"
Easy Chicken Barbecue Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/05/Chicken-Barbecue1.jpg,"['▢ 1 1/2 to 2 lbs chicken cut into serving pieces', '▢ 1 recipe of chicken barbecue marinade', '▢ 1/4 cup barbecue sauce', '▢ 1 tablespoon soy sauce', '▢ 1 teaspoon lemon juice', '▢ 1/4 cup lemon lime soda']","['Make the basting sauce by combining barbecue sauce, soy sauce, lemon juice, and lemon lime soda in a bowl. Mix well. Set aside.', 'Arrange the chicken in a large bowl. Pour-in the chicken barbecue marinade. Make sure that all the chicken slices are coated with the marinade. Cover the bowl with a cling wrap. Refrigerate for at least 1 hour (the longer, the better).', 'Heat-up your grill (around 320F). If you are using a charcoal grill, limit the charcoal in the two sides leaving an opening on the middle. If you are using a gas grill, only activate all the burner except the one in the middle (I am referring to the grill burners, not the one on the side, if your grill has one).', 'Skewer at least 2 chicken slices in bamboo or metal skewers. Arrange the chicken in the middle of the grill wherein there is no direct heat in the bottom. The heat should be coming from the sides. This will take sometime to cook the chicken, but it prevents the skin from burning.', 'Cover the grill (if applicable), and barbecue the chicken for 12 to 15 minutes.', 'Turn the chicken over to barbecue the other side. Baste the top of the chicken with the basting sauce. Barbecue for another 12 to 15 minutes.', 'Flip the chicken once more and baste the top part. Continue to barbecue for 12 to 15 minutes.', 'Turn the chicken over for the last time and brush some basting sauce on the top part. Continue to barbecue for 12 to 15 minutes.', 'Using a meat thermometer, measure the internal temperature of the chicken. A safe temperature for poultry is 165F. If the temperature of your chicken barbecue is 160F and above, this means you are done; otherwise, continue to barbecue the chicken until the desired internal temperature is achieved.', 'Transfer to a serving plate.', 'Serve. share and enjoy!']",,"['lemon juice', 'lemon lime soda', 'barbecue sauce', 'chicken', 'recipe chicken barbecue marinade', 'soy sauce']"
Adobo Pork Chops,https://panlasangpinoy.com/wp-content/uploads/2014/05/Adobo-Pork-Chops.jpg,"['▢ 2 lbs. pork chops', '▢ 4 tablespoons dark soy sauce', '▢ 5 cloves garlic crushed', '▢ 3 tablespoons white or cane vinegar', '▢ 2 teaspoons whole peppercorn', '▢ 4 to 5 pieces dried bay leaves', '▢ 1 cup water', '▢ salt to taste if necessary', '▢ 3 tablespoons cooking oil']","['Heat cooking oil in a wide and deep pan.', 'Once the oil is hot, pan fry the pork chops turning them over once each side turns light to medium brown (this will take around 3 to 5 minutes per side depending on the thickness of your pork chops).', 'Put-in the garlic, peppercorns, and bay leaves. Continue to cook until the garlic turns light brown (2 to 3 minutes).', 'Pour-in water and soy sauce. Bring to a boil.', 'Cover and simmer until the liquid reduces to half (around 40 to 50 minutes). You can add more water if needed.', 'Pour-in the vinegar. Let the liquid boil. Stir and continue to cook (uncovered) for 10 minutes.', 'Add salt if needed. The soy sauce alone gives this dish enough saltiness. You can add salt according to your preference.', 'Serve with steamed white rice.', 'Share and enjoy!']",,"['water', 'pork chops', 'whole peppercorn', 'garlic', 'dark soy sauce', 'cooking oil', 'white or cane vinegar', 'salt if necessary', 'bay leaves']"
Chili Garlic Shrimp Saute,https://panlasangpinoy.com/wp-content/uploads/2014/05/Chili-Garlic-Shrimp-Saute.jpg,"['▢ 1 lb. Shrimp cleaned', '▢ 2 tablespoons butter melted', '▢ 2 tablespoons olive oil', '▢ 1 teaspoon crushed red chili flakes', '▢ 1 teaspoon dried parsley flakes', '▢ 2 teaspoons minced garlic', '▢ Salt and pepper to taste']","['Heat butter and olive oil in a saute pan.', 'Put-in the garlic and crushed red chili flakes. Cook in medium heat until the garlic turns light brown (this will take between 2 to 3 minutes).', 'Add the shrimp. Saute for 8 minutes.', 'Sprinkle salt and pepper, and add the parsley flakes. Continue to cook for 2 to 4 minutes.', 'Transfer to a serving plate. Serve.', 'Share and enjoy!']",,"['olive oil', 'Shrimp', 'Salt pepper', 'red chili flakes', 'garlic', 'parsley flakes', 'butter']"
Brined Roast Beef,https://panlasangpinoy.com/wp-content/uploads/2014/02/Brined-Roast-Beef-Recipe.jpg,"['▢ 3 lbs ribeye or eye of round', '▢ 1 tablespoon sea salt', '▢ 1 teaspoon ground black pepper', '▢ 1 teaspoon garlic powder', '▢ 2 teaspoons garlic powder', '▢ 5 tablespoons sugar', '▢ 5 tablespoons sea salt', '▢ 2 1/2 tablespoons ground black pepper', '▢ 2 tablespoons ginger powder', '▢ 1 1/2 teaspoons cinnamon powder', '▢ 1 1/2 cups water', '▢ 3 cups ice cubes']","['Combine all the brining ingredients in a saucepan, except for the ice cubes. Mix well.', 'Place the saucepan in a stovetop. Let boil and continue to cook for 2 minutes.', 'Arrange the ice cubes in a large metal mixing bowl. Pour-in the boiling mixture in the mixing bowl. Stir.', 'Meanwhile, place the beef inside a large resealable bag. Pour the brine mixture inside the bag. Seal and place inside the refrigerator. Let it brine for 16 to 20 hours.', 'After brining the meat, discard the brine. Preheat oven to 375 Fahrenheit.', 'Rub salt, pepper, and garlic powder all over the meat and then place it in a roasting rack.', 'Roast the beef for 23 to 27 minutes per pound. Note: A 3 lbs. beef needs to be roasted for 69 to 81 minutes.', 'Remove the meat from the oven. Let is rest for 12 to 15 minutes.', 'Carve the roast beef. Serve.', 'Share and enjoy!']",,"['water', 'garlic powder', 'ribeye or eye round', 'sea salt', 'sugar', 'ground black pepper', 'cinnamon powder', 'ice', 'ginger powder']"
Simple Baked Pork Chop Recipe,https://panlasangpinoy.com/wp-content/uploads/2015/04/baked-pork-chop_.jpg,"['▢ 4 pieces thick cut pork chops', '▢ 3/4 cups barbecue sauce use your favorite brand', '▢ cooking oil spray', '▢ 1/2 teaspoon salt', '▢ 1/4 teaspoon ground black pepper']","['Sprinkle salt and pepper on both sides of the pork chop. Let it stay for 15 minutes so that the pork can absorb the flavor.', 'Heat a skillet or frying pan. Spray enough cooking oil (using the cooking oil spray) on the skillet.', 'Sear each side of the pork chop for 3 minutes or until brown. Note: Doing this will help retain some moisture inside the pork chops.', 'Preheat the oven to 350 degrees Fahrenheit.', 'While the oven is being preheated, spread the barbecue sauce on both sides of the seared pork chops.', 'Arrange the pork chops in a baking pan. Bake for 20 to 25 minutes.', 'Transfer to a serving plate. Serve with grilled corn. mashed potatoes, or white rice.']",,"['thick pork chops', 'ground black pepper', 'salt', 'barbecue sauce use your favorite brand', 'cooking oil spray']"
Sardines with Misua and Patola Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/04/Misua-with-Sardines-and-Patola.jpg,"['▢ 4 ounces Misua noodles', '▢ 15 ounce canned sardines in tomato sauce', '▢ 1 medium patola luffa peeled and sliced', '▢ 1/2 cup chopped green onions', '▢ 1/2 to 1 head garlic crushed', '▢ 1 medium onion diced', '▢ salt and pepper to taste', '▢ 3 tablespoons cooking oil', '▢ 4 to 5 cups water']","['Heat the cooking oil in a soup pot.', 'Saute the garlic until medium brown.', 'Add-in the onion. Continue to saute until the texture becomes soft.', 'Pour-in the sardines in tomato sauce. Stir.Cook for a 2 minutes.', 'Put-in the patola and cook for 1 minute.', 'Pour-in the water. Let boil. Simmer for 3 to 5 minutes.', 'Add-in the misua. Gently stir. Cook for 2 minutes.', 'Add salt and pepper to taste. Put-in the green onions.', 'Transfer to a serving bowl. Serve.', 'Share and enjoy!']",,"['onion', 'water', 'head garlic', 'patola luffa', 'Misua noodles', 'cooking oil', 'salt pepper', 'canned sardines in tomato sauce', 'green onions']"
Sweet and Sour Mahi mahi,https://panlasangpinoy.com/wp-content/uploads/2014/04/Sweet-and-Sour-Mahi-mahi.jpg,"['▢ 1 lb. frozen Mahi mahi fillets', '▢ 1/4 cup all-purpose flour', '▢ 2/3 cups rice wine vinegar', '▢ 1/2 small red bell pepper julienned', '▢ 1/2 small green bell pepper julienned', '▢ 1/4 cup carrots julienned', '▢ 1 small red onion sliced', '▢ 1 teaspoon dark soy sauce', '▢ 1/4 cup tomato ketchup', '▢ 1/2 cup brown sugar', '▢ 1 1/2 tablespoons cornstarch diluted in 3 tablespoons water', '▢ 1/2 cup cooking oil', '▢ Salt and pepper to taste']","['Season Mahi mahi fillets with salt and pepper.', 'Heat the cooking oil in a frying pan.', 'When the oil gets hot, dredge the seasoned mahi mahi fillets in all-purpose flour. Fry each side in medium heat for 3 to 5 minutes or until medium brown. Remove the fried fish from the pan. Arrange in a serving plate. Set aside.', 'Meanwhile, make the sweet and sour sauce by combining vinegar, soy sauce, ketchup, and sugar in a bowl. Mix well.', 'Heat a saucepan and pour-in the vinegar mixture. Let boil.', 'Adjust the heat to medium and then add the carrots, bell peppers, and onion. Stir and cook for 2 minutes.', 'Pour-in the cornstarch diluted in water. Stir quickly. Continue to stir gently until the texture becomes thick.', 'Turn the heat off. Scoop some sweet and sour sauce and top over the fried Mahi mahi.', 'Serve with warm steamed white rice.', 'Share and enjoy!']",,"['tomato ketchup', 'brown sugar', 'frozen Mahi mahi fillets', 'carrots', 'green bell pepper', 'Salt pepper', 'red bell pepper', 'dark soy sauce', 'cooking oil', 'red onion', 'cornstarch diluted in water', 'all-purpose flour', 'rice wine vinegar']"
Pork Menudo with Raisins and Green Peas,https://panlasangpinoy.com/wp-content/uploads/2015/04/menudo-raisins.jpg,"['▢ 2 lbs. pork cubed', '▢ 1/4 lb. pig’s liver cubed', '▢ 4 hotdogs sliced diagonally', '▢ 2 medium baking potatoes peeled and cubed', '▢ 2 medium carrots peeled and cubed', '▢ 1 medium yellow onion chopped', '▢ 2 teaspoons minced garlic', '▢ 1 teaspoon minced ginger', '▢ 1/2 cup raisins', '▢ 3/4 cups frozen green peas', '▢ 3 pieces dried bay leaves', '▢ 15 oz. tomato sauce', '▢ 16 ounces beef broth or 2 cups beef stock', '▢ 3 tablespoons cooking oil', '▢ Salt and pepper to taste']","['Heat the cooking oil in a wide cooking pot.', 'Saute the hotdogs for 1 minute. Transfer the hotdogs in a plate while leaving the remaining cooking oil.', 'On the same cooking pot, add-in the ginger. Saute for 30 seconds to a minute.', 'Put-in the liver. Continue to saute for 2 minutes. Transfer to a plate while leaving the remaining cooking oil in the cooking pot. Set the liver aside.', 'On the same cooking pot with remaining cooking oil, saute the onion and garlic until the onion becomes soft. Note: you can add more oil if there isn’t enough left.', 'Add-in the pork. Continue to cook until light brown.', 'Add the raisins, pour-in the tomato sauce and beef broth. Bring to a boil.', 'Add the dried bay leaves and simmer for 45 to 60 minutes or until the pork becomes tender.', 'Put-in the sauteed liver and hotdog. Stir.', 'Add the carrots, green peas and potatoes. Cover and cook for 8 minutes.', 'Add salt and pepper to taste.', 'Transfer to a serving plate. Serve.', 'Share and enjoy!']",,"['beef broth or beef stock', 'ginger', 'tomato sauce', 'frozen green peas', 'carrots', 'pig’s liver', 'yellow onion', 'Salt pepper', 'baking potatoes', 'garlic', 'cooking oil', 'hotdogs diagonally', 'pork', 'bay leaves', 'raisins']"
Eggplant and Ground Chicken Omelet,https://panlasangpinoy.com/wp-content/uploads/2014/03/Eggplant-and-ground-chicken-omelet.jpg,"['▢ 2 pieces Chinese eggplant', '▢ 3 eggs beaten', '▢ 1/2 lb. ground chicken', '▢ 1 medium onion minced', '▢ 1/2 teaspoon minced garlic', '▢ 6 tablespoons cooking oil', '▢ Salt and pepper to taste']","['Prepare the eggplants by removing the skin. This can be done by baking the eggplant in 350F for 20 to 25 minutes. Gently peel the skin off after removing the eggplant from the oven and letting the temperature cool down. A quicker way is to burn the skin off by directly exposing the eggplant to fire, but this is not recommended for beginners.', 'After peeling the skin off the eggplants, arrange both eggplants flat in a wide plate. Using a fork, press the eggplant gently until it spreads-out and forms a paddle-like figure. Set aside.', 'Heat 2 tablespoons of cooking oil in a sauté pan.', 'Once the oil becomes hot, sauté the garlic and onion until the onion is soft.', 'Put-in the ground chicken. Stir fry for 2 to 5 minutes.', 'Add salt and pepper to taste. Stir, turn off the heat, and set aside.', 'Meanwhile, heat the remaining 4 tablespoons of cooking oil in a wide frying pan.', 'Once the oil is hot, quickly dip the eggplant in beaten egg and place it flat on the frying pan to fry.', 'Scoop about a quarter (1/4) of the cooked ground chicken and arrange it on top of the eggplant. Pour beaten egg on the ground chicken enough to cover everything, do not put too much though as you will still need the egg later.', 'Scoop some cooking oil from the pan and pour it over the top off the eggplant omelet. This will partially cook the egg on top and prevent the meat from falling apart.', 'Gently turn-over the eggplant (side with ground chicken facing down). Use a wide spatula to do this. Continue to cook in medium heat for 3 minutes. While doing this, scoop a quarter of cooked ground chicken and arrange it on top of the other side. Pour some egg on top of the ground chicken and scoop some cooking oil on top.', 'Flip the eggplant and cook the other side for 2 to 3 minutes.', 'Transfer the eggplant to a serving plate. Serve with rice and banana ketchup.', 'Share and enjoy!']",,"['onion', 'ground chicken', 'eggs', 'Salt pepper', 'Chinese eggplant', 'garlic', 'cooking oil']"
Linguine Pasta with Clams,https://panlasangpinoy.com/wp-content/uploads/2014/03/Linguine-with-Clams.jpg,"['▢ 1 1/2 lbs round clam cleaned', '▢ 1 lb. linguine', '▢ 2 tablespoons chopped red bell pepper', '▢ 2 tablespoons chopped green bell pepper', '▢ 3 stalks scallions finely chopped', '▢ 1 small yellow onion minced', '▢ 1 teaspoon minced garlic', '▢ 1 cup dry white wine', '▢ 3 ounces bottled clam juice', '▢ 3 tablespoons extra virgin olive oil', '▢ Salt to taste']","['Cook the linguine according to package instructions. Set aside in a large bowl.', 'Heat the olive oil in a sauté pan.', 'Add the onion and garlic. Cook until the onion turns soft.', 'Add the red and green bell peppers and clams. Stir.', 'Pour-in white wine and clam juice. Continue to cook until the liquid reduces in half.', 'Add scallions and salt.', 'Pour the cooked clams along with the sauce over the cooked linguine pasta. Toss.', 'Serve. Share and enjoy!']",,"['extra virgin olive oil', 'round clam', 'bottled clam juice', 'green bell pepper', 'dry white wine', 'yellow onion', 'red bell pepper', 'stalks scallions finely', 'garlic', 'Salt', 'linguine']"
Sinigang na Liempo sa Sampaloc with Gabi,https://panlasangpinoy.com/wp-content/uploads/2014/03/Sinagang-na-Liempo-Sa-Sampaloc.jpg,"['▢ 2 lbs. pork belly chopped', '▢ 16 ounces unripe sampaloc tamarind', '▢ 1 bunch kangkong onchoy, cleaned and sliced', '▢ 3 medium gabi eddo, halved', '▢ 2 medium ripe red tomatoes quartered', '▢ 1 medium yellow onion quartered', '▢ 12 pieces okra', '▢ 3 to 4 pieces long green chili siling pansigang', '▢ 4 cups water', '▢ 2 cups beef broth', '▢ 2 tablespoons cooking oil', '▢ Fish sauce to taste']","['Boil the water in a cooking pot.', 'Put-in the tamarind and continue to boil for 45 minutes.', 'Meanwhile, heat the oil on another deep cooking pot.', 'Once the oil is hot, sear the pork belly until the color turns light brown.', 'Stir-in the tomatoes and onion. Cook for 2 minutes.', 'Gently pour-in the boiling water, but do not include the tamarind. Add the beef broth and gabi afterwards.', 'Place the tamarind on a strainer and let the remaining juice out by pushing a spoon against it. Add the tamarind juice to the cooking pot where the meat is. Simmer for 60 minutes. Add more water if necessary.', 'Put-in the okra and long green chili. Cook for 3 minutes.', 'Add the kangkong (onchoy) and fish sauce. Stir. Cover and turn the heat off. Let it stay covered for 5 minutes.', 'Transfer to a serving bowl.', 'Serve with warm rice.', 'Share and enjoy!']",,"['water', 'long green chili siling pansigang', 'unripe sampaloc tamarind', 'kangkong onchoy', 'okra', 'pork belly', 'gabi eddo', 'yellow onion', 'red tomatoes', 'cooking oil', 'beef broth', 'Fish sauce']"
Fried Fish Adobo,https://panlasangpinoy.com/wp-content/uploads/2014/02/Fried-Fish-Adobo.jpg,"['▢ 2 lbs. Fish Adobo click here for recipe', '▢ 3/4 cups cooking oil']","['Drain the liquid from the fish adobo.', 'Heat a frying pan. Fry each side of the fish for 3 to 4 minutes or until the color turns golden brown and the texture starts to be crispy.', 'Remove the fish from the pan, and place in a plate lined with paper towels to absorb the oil.', 'Serve with warm rice. Share and enjoy!']",,"['cooking oil', 'Fish Adobo click here for recipe']"
Easy Pork Afritada Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/03/Easy-Afritada.jpg,"['▢ 1 1/2 lb. pork shoulders cubed', '▢ 2 medium potatoes peeled and cubed', '▢ 1/2 small red bell pepper chopped', '▢ 1/2 small green bell pepper chopped', '▢ 1/2 cup frozen green peas', '▢ 4 cups pork or beef broth', '▢ 1 8 oz. can tomato sauce', '▢ 1 small tomato cubed', '▢ 1 small onion chopped', '▢ 3 cloves garlic crushed', '▢ 3 tablespoons cooking oil', '▢ Salt and pepper to taste']","['Heat oil in a casserole or deep cooking pot.', 'Saute garlic,onion, and tomato until soft.', 'Add-in the pork. Cook for 2 to 3 minutes or until light brown.', 'Pour-in broth and tomato sauce. Bring to a boil. Simmer for 40 to 60 minutes.', 'Stir-in the potatoes. Cook for 8 minutes.', 'Add the bell peppers and green peas. Stir and cook for 2 to 3 minutes.', 'Sprinkle salt and pepper to taste.', 'Transfer to a serving plate. Serve with warm rice.', 'Share and enjoy!']",,"['onion', 'tomato sauce', 'tomato', 'frozen green peas', 'green bell pepper', 'pork shoulders', 'Salt pepper', 'red bell pepper', 'garlic', 'potatoes', 'cooking oil', 'pork or beef broth']"
Easy Chicken Parm,https://panlasangpinoy.com/wp-content/uploads/2014/03/chicken-parm.jpg,"['▢ 4 frozen boneless chicken breasts thawed', '▢ 2 cups marinara sauce', '▢ 1/2 cup Parmesan cheese', '▢ 1 cup shredded mozzarella cheese', '▢ 1 medium egg', '▢ 1/2 cup fresh milk', '▢ 3/4 cup bread crumbs', '▢ 2 1/2 tablespoons olive oil']","['Pound the chicken breast until half thick.', 'Whisk the egg and milk together in a bowl. Dip the chicken breasts in the egg mixture and then roll on the bread crumbs. Do this on all 4 breasts.', 'Heat oil in a fry pan. Brown the chicken by frying on the oil for 4 to 5 minutes per side in medium heat.', 'Preheat oven to 350F.', 'Grease a baking dish. Put the fried chicken on the baking dish. Pour marinara sauce over each chicken breast. Put Parmesan and mozzarella cheeses on top. Bake for 20 minutes.', 'Remove from the oven. Serve!']",,"['bread crumbs', 'olive oil', 'Parmesan cheese', 'egg', 'mozzarella cheese', 'marinara sauce', 'frozen boneless chicken breasts thawed', 'milk']"
Easy Meatballs Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/02/Easy-Meatball-Recipe02042543-520x750.jpg,"['▢ 1 1/4 lbs. ground beef 85% lean', '▢ 1/4 cup chopped flat leaf parsley', '▢ 2 teaspoons garlic salt', '▢ 1 medium onion minced', '▢ 1/4 teaspoon ground black pepper', '▢ 1/3 cup regular or Italian breadcrumbs', '▢ 1/2 cup whole fresh milk']","['Preheat oven to 350 degrees Fahrenheit.', 'Combine all the ingredients in a bowl.', 'Gently mix the ingredients either by using your hands or by using a stand mixer. Make sure the the ingredients are well blended.', 'Arrange an aluminum foil on a baking tray. Grease the foil using a cooking spray.', 'Scoop a small portion of the mixture and mold it into a ball-shaped figure. Arrange the balls on the greased sheet.', 'Place the tray with the meatballs in the oven. Bake for 28 to 35 minutes or until the inside part of the meatballs are fully cooked.', 'Remove from the oven and arrange in a serving plate.', 'Serve with your favorite sauce.', 'Share and enjoy!']",,"['regular or Italian breadcrumbs', 'onion', 'ground black pepper', 'whole milk', 'garlic salt', 'ground beef lean', 'flat leaf parsley']"
Reuben Sandwich,https://panlasangpinoy.com/wp-content/uploads/2014/02/Reuben-Sandwich.jpg,"['▢ 1/4 lb deli corned beef sliced', '▢ 4 slices soft rye bread', '▢ 2 to 3 teaspoons unsalted butter soft', '▢ 4 slices Swiss cheese', '▢ 2 tablespoons light mayonnaise', '▢ 1/2 cup sauerkraut`']","['Heat a griddle or pan.', 'Spread the butter on each side of the bread slices.', 'Lay two bread slices with buttered side down on the heated griddle or pan.', 'Arrange two Swiss cheese slices on top of each bread.', 'Equally place the corned beef deli on top of the cheese for both breads and then top with sauerkraut.', 'Spread mayonnaise on the other side of the remaining 2 bread slices (one side has mayo and the other has butter). Top the remaining slices of bread over the sauerkraut (mayo side down).', 'Turn the sandwich over to heat the other side. Let it stay until the bread turns golden brown.', 'Slice the bread in the middle and serve.', 'Share and enjoy!']",,"['Swiss cheese', 'soft rye bread', 'sauerkraut`', 'deli corned beef', 'butter soft', 'light mayonnaise']"
Papis Recipe,https://panlasangpinoy.com/wp-content/uploads/2014/02/Papis-Recipe.jpg,"['▢ 2 lbs. beef sirloin cubed', '▢ 1 16 oz. can pork and beans', '▢ 1 medium yellow onion diced', '▢ 3 cloves garlic crushed and minced', '▢ 2 cups beef stock', '▢ Salt and pepper to taste', '▢ 2 tablespoons cooking oil']","['Heat the cooking oil in a deep cooking pot or Dutch oven.', 'Saute the garlic and onion.', 'When the onion becomes soft, add the cubed beef.', 'Brown the beef and then pour-in the beef broth or beef stock. Let it boil. Cover and simmer for 45 to 60 minutes. Add water, if needed.', 'Put-in the pork and beans. Stir and cook in medium heat for 5 minutes.', 'Add salt and pepper to taste.', 'Transfer to a serving plate. Serve.', 'Share and enjoy!']",,"['beef stock', 'yellow onion', 'beef sirloin', 'Salt pepper', 'garlic', 'cooking oil', 'pork beans']"
